english,santhali
"I am feeling excited today. ","ᱤᱧ ᱛᱮᱦᱮᱧ ᱩᱢᱡᱷᱟᱹᱣ ᱤᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟ᱾ "
"They are dancing in the hall. ","ᱩᱱᱠᱩ ᱦᱚᱞ ᱨᱮ ᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ ᱾ "
"He is cooking vegetables. ","ᱩᱱᱤ ᱟᱲᱟᱜ ᱠᱚᱭ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"She is washing the dishes. ","ᱩᱱᱤ ᱫᱚ ᱛᱷᱟᱹᱨᱤ ᱠᱚ ᱟᱹᱨᱩᱵ ᱠᱟᱱᱟᱭ ᱾ "
"I am learning new words. ","ᱤᱧ ᱱᱟᱶᱟ ᱟᱹᱲᱟᱹ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ ᱾ "
"We are walking in the street. ","ᱟᱞᱮ ᱥᱚᱸᱡᱷᱮ ᱨᱮ ᱞᱮ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟ᱾ "
"He is painting a picture. ","ᱩᱱᱤ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱮ ᱨᱚᱝ ᱮᱫᱟ᱾ "
"I like to eat mangoes. ","ᱤᱧ ᱢᱮᱢ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is reading a story. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"They are playing hide and seek. ","ᱩᱱᱠᱩ ᱩᱠᱩ ᱟᱨ ᱥᱮᱸᱫᱽᱨᱟ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"I am drinking tea. ","ᱤᱧ ᱪᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱹᱧ ᱾ "
"He is fixing the table. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"She is wearing a hat. ","ᱩᱱᱤ ᱫᱚ ᱴᱩᱯᱨᱤ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"We are traveling to the city. ","ᱟᱞᱮ ᱥᱚᱦᱚᱨ ᱥᱮᱫ ᱞᱮ ᱫᱟᱬᱟᱱ ᱠᱟᱱᱟ᱾ "
"I am helping my friend. ","ᱤᱧ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱜᱚᱲᱚ ᱟᱭ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are learning English. ","ᱩᱱᱠᱩ ᱤᱝᱨᱟᱡᱤ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟ᱾ "
"He is writing a poem. ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱱᱚᱲᱦᱮ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is drawing a flower. ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱟᱦᱟ ᱟᱸᱠᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I like to play badminton. ","ᱤᱧ ᱵᱮᱰᱢᱤᱱᱴᱚᱱ ᱠᱷᱮᱞ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"We are watching the sunset. ","ᱟᱞᱮ ᱥᱤᱛᱩᱝ ᱧᱩᱨᱩᱜ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is cleaning the garden. ","ᱩᱱᱤ ᱵᱟᱜᱟᱱ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"She is brushing her teeth. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱰᱟᱴᱟ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"I am reading a magazine. ","ᱤᱧ ᱢᱤᱫ ᱯᱟᱛᱷᱟᱢ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"They are singing in the choir. ","ᱩᱱᱠᱩ ᱫᱚ ᱠᱳᱭᱟᱨ ᱨᱮ ᱠᱚ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"He is learning Santali. ","ᱩᱱᱤ ᱥᱟᱱᱛᱟᱞᱤ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ. "
"I like to drink water in the morning. ","ᱤᱧ ᱥᱮᱛᱟᱜ ᱨᱮ ᱫᱟᱜ ᱧᱩᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is cooking soup. ","ᱩᱱᱤ ᱥᱩᱯ ᱮ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"We are climbing the hill. ","ᱟᱞᱮ ᱵᱩᱨᱩ ᱞᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is riding his bicycle. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱥᱟᱭᱠᱮᱞ ᱪᱟᱹᱞᱩ ᱠᱟᱱᱟᱭ ᱾ "
"I am walking to the school. ","ᱤᱧ ᱟᱥᱲᱟ ᱥᱮᱫ ᱤᱧ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"They are playing volleyball. ","ᱩᱱᱠᱩ ᱵᱚᱞᱤᱵᱚᱞ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"She is helping her brother. ","ᱩᱱᱤ ᱟᱡ ᱵᱚᱭᱦᱟ ᱜᱚᱲᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"He is writing a storybook. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱯᱚᱛᱚᱵ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"I am drawing animals. ","ᱤᱧ ᱡᱤᱣ ᱠᱚᱧ ᱪᱤᱛᱟᱹᱨ ᱮᱫ ᱠᱚᱣᱟ ᱾ "
"We are eating breakfast. ","ᱟᱞᱮ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢᱟᱜ ᱞᱮ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"They are singing songs together. ","ᱩᱱᱠᱩ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱥᱮᱨᱮᱧ ᱠᱚ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"He is cleaning the room. ","ᱩᱱᱤ ᱠᱟᱱᱫᱷᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"She is watering the flowers. ","ᱩᱱᱤ ᱵᱟᱦᱟ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾ "
"I am learning new English words. ","ᱤᱧ ᱱᱟᱶᱟ ᱤᱝᱨᱟᱡᱤ ᱟᱹᱲᱟᱹ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ ᱾"
"We are walking in the park. ","ᱟᱞᱮ ᱯᱟᱨᱠ ᱨᱮ ᱞᱮ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟ᱾ "
"He is fixing the car. ","ᱩᱱᱤ ᱠᱟᱨ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"She is reading a novel. ","ᱩᱱᱤ ᱢᱤᱫ ᱜᱟᱢᱟᱢ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I am playing with my friends. ","ᱤᱧ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱚ ᱥᱟᱶ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are dancing at the party. ","ᱩᱱᱠᱩ ᱯᱟᱨᱴᱤ ᱨᱮᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ ᱾ "
"He is drawing a house. ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱲᱟᱜ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟᱭ ᱾ "
"I like to eat rice and vegetables. ","ᱤᱧ ᱫᱟᱠᱟ ᱟᱨ ᱩᱛᱩ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is making a cake. ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱮᱠ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are going to the market. ","ᱟᱞᱮ ᱵᱟᱡᱟᱨ ᱞᱮ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is watching a football match. ","ᱩᱱᱤ ᱯᱷᱩᱴᱵᱚᱞ ᱢᱮᱪ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"She is cleaning the floor. ","ᱩᱱᱤ ᱚᱛ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"I am learning Santali sentences. ","ᱤᱧ ᱥᱟᱱᱛᱟᱞᱤ ᱟᱹᱭᱟᱹᱛ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ| "
"They are playing outside in the garden. ","ᱩᱱᱠᱩ ᱵᱟᱜᱟᱱ ᱨᱮ ᱵᱟᱦᱨᱮ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He is feeding the dog. ","ᱩᱱᱤ ᱥᱮᱛᱟ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫ ᱠᱚᱣᱟᱭ ᱾ "
"She is drinking water. ","ᱩᱱᱤ ᱫᱟᱜ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"I am writing in my notebook. ","ᱤᱧ ᱤᱧᱟᱜ ᱱᱚᱴᱵᱚᱦᱤ ᱨᱮ ᱚᱞ ᱠᱟᱱᱟᱹᱧ ᱾ "
"We are learning English words. ","ᱟᱞᱮ ᱤᱝᱨᱟᱡᱤ ᱟᱹᱲᱟᱹ ᱠᱚ ᱞᱮ ᱪᱮᱫ ᱮᱫᱟ᱾ "
"He is helping his father. ","ᱩᱱᱤ ᱟᱡ ᱵᱟᱵᱟ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"She is singing a song. ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱮᱨᱮᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟᱭ ᱾ "
"I am drawing a picture. ","ᱤᱧ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱤᱧ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"They are reading books. ","ᱩᱱᱠᱩ ᱯᱚᱛᱚᱵ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"I am going to school. ","ᱤᱧ ᱟᱥᱲᱟ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"She is reading a book. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"He is eating breakfast. ","ᱩᱱᱤ ᱫᱚ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"They are playing football. ","ᱩᱱᱠᱩ ᱯᱷᱩᱴᱵᱚᱞ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"We are walking to the park. ","ᱟᱞᱮ ᱯᱟᱨᱠ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"The sun is shining brightly. ","ᱥᱤᱛᱩᱢ ᱫᱚ ᱛᱮᱡᱽᱞᱟᱜ ᱛᱮ ᱡᱷᱟᱞᱠᱟᱣᱜ ᱠᱟᱱᱟ ᱾ "
"I like to drink water. ","ᱤᱧ ᱫᱟᱜ ᱧᱩᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"She is writing a letter. ","ᱩᱱᱤ ᱢᱤᱫ ᱪᱤᱴᱷᱤ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"He is riding a bicycle. ","ᱩᱱᱤ ᱥᱟᱭᱠᱮᱞ ᱪᱟᱹᱞᱩ ᱠᱟᱱᱟᱭ ᱾ "
"The cat is sleeping on the mat. ","ᱯᱩᱥᱤ ᱫᱚ ᱯᱟᱹᱴᱤ ᱨᱮ ᱡᱟᱹᱯᱤᱫ ᱠᱟᱱᱟᱭ ᱾ "
"The dog is barking loudly. ","ᱥᱮᱛᱟ ᱟᱹᱰᱤ ᱡᱷᱟᱹᱞ ᱛᱮ ᱵᱷᱩᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I am feeling happy today. ","ᱤᱧ ᱛᱮᱦᱮᱧ ᱠᱩᱥᱤ ᱤᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟ᱾ "
"They are watching a movie. ","ᱩᱱᱠᱩ ᱢᱤᱫ ᱯᱷᱤᱞᱤᱢ ᱠᱚ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"We are cooking dinner together. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱠᱮᱫᱚᱜ ᱞᱮ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"She is listening to music. ","ᱩᱱᱤ ᱥᱮᱨᱮᱧ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"He is cleaning the room. ","ᱩᱱᱤ ᱠᱟᱱᱫᱷᱟ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I am learning English words. ","ᱤᱧ ᱤᱝᱨᱟᱡᱤ ᱟᱹᱲᱟᱹ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ ᱾ "
"The birds are flying in the sky. ","ᱪᱮᱬᱮ ᱠᱚ ᱥᱮᱨᱢᱟ ᱨᱮᱠᱚ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟ᱾ "
"She is planting flowers in the garden. ","ᱩᱱᱤ ᱵᱟᱜᱟᱱ ᱨᱮ ᱵᱟᱦᱟ ᱨᱚᱦᱚᱭ ᱮᱫᱟᱭ ᱾ "
"He is feeding the goat. ","ᱩᱱᱤ ᱢᱮᱨᱚᱢ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I am drinking tea in the morning. ","ᱤᱧ ᱥᱮᱛᱟᱜ ᱨᱮ ᱪᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are swimming in the river. ","ᱩᱱᱠᱩ ᱜᱟᱰᱟ ᱨᱮᱠᱚ ᱯᱟᱭᱨᱟᱜ ᱠᱟᱱᱟ ᱾ "
"We are climbing the hill. ","ᱟᱞᱮ ᱵᱩᱨᱩ ᱞᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟ᱾ "
"She is drawing a picture. ","ᱩᱱᱤ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱮ ᱟᱸᱠᱟᱣ ᱮᱫᱟ᱾ "
"He is helping his father. ","ᱩᱱᱤ ᱟᱡ ᱵᱟᱵᱟ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"I am walking with my dog. ","ᱤᱧ ᱤᱧ ᱨᱮᱱ ᱥᱮᱛᱟ ᱥᱟᱶ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟᱹᱧ ᱾ "
"The baby is laughing. ","ᱜᱤᱫᱽᱨᱟᱹ ᱞᱟᱱᱫᱟᱭ ᱠᱟᱱᱟ ᱾ "
"They are reading books. ","ᱩᱱᱠᱩ ᱯᱚᱛᱚᱵ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is sewing a dress. ","ᱩᱱᱤ ᱢᱤᱫ ᱰᱨᱮᱥ ᱥᱤᱞ ᱠᱟᱱᱟᱭ ᱾ "
"He is fixing the bicycle. ","ᱩᱱᱤ ᱥᱟᱭᱠᱮᱞ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"I am writing in my notebook. ","ᱤᱧ ᱤᱧᱟᱜ ᱱᱚᱴᱵᱚᱦᱤ ᱨᱮ ᱚᱞ ᱠᱟᱱᱟᱹᱧ ᱾ "
"We are traveling to the city. ","ᱟᱞᱮ ᱥᱚᱦᱚᱨ ᱥᱮᱫ ᱞᱮ ᱫᱟᱬᱟᱱ ᱠᱟᱱᱟ᱾ "
"She is cooking rice. ","ᱩᱱᱤ ᱫᱟᱠᱟ ᱤᱥᱤᱱ ᱮᱫᱟᱭ ᱾ "
"He is riding a horse. ","ᱩᱱᱤ ᱫᱚ ᱥᱟᱫᱚᱢ ᱠᱟᱢᱥᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I like to eat fruits. ","ᱤᱧ ᱡᱚ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"The sky is cloudy today. ","ᱛᱮᱦᱮᱧ ᱥᱮᱨᱢᱟ ᱫᱚ ᱨᱤᱢᱤᱞ ᱜᱮᱭᱟ ᱾ "
"They are dancing at the party. ","ᱩᱱᱠᱩ ᱯᱟᱨᱴᱤ ᱨᱮᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ ᱾ "
"She is brushing her teeth. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱰᱟᱴᱟ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"He is cutting vegetables. ","ᱩᱱᱤ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱚ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I am playing with my friends. ","ᱤᱧ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱚ ᱥᱟᱶ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟᱹᱧ ᱾ "
"We are singing a song. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱮᱨᱮᱧ ᱞᱮ ᱥᱮᱨᱮᱧ ᱮᱫᱟ᱾ "
"The cat is chasing the mouse. ","ᱯᱩᱥᱤ ᱫᱚ ᱜᱳᱰᱳ ᱮ ᱯᱟᱧᱡᱟᱭᱮ ᱠᱟᱱᱟ ᱾ "
"He is watering the plants. ","ᱩᱱᱤ ᱫᱚ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾ "
"I am reading a newspaper. ","ᱤᱧ ᱢᱤᱫ ᱠᱷᱚᱵᱚᱨ ᱠᱟᱜᱚᱡᱽ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is smiling at me. ","ᱩᱱᱤ ᱤᱧ ᱥᱮᱫ ᱞᱟᱱᱫᱟ ᱠᱟᱱᱟᱭ ᱾ "
"They are cleaning the garden. ","ᱩᱱᱠᱩ ᱵᱟᱜᱟᱱ ᱠᱚ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"We are having lunch together. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱢᱟᱧᱡᱟᱱ ᱞᱮ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"He is drawing a house. ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱲᱟᱜ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟᱭ ᱾ "
"I am feeling sleepy. ","ᱤᱧ ᱡᱟᱹᱯᱤᱫ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is making coffee. ","ᱩᱱᱤ ᱠᱚᱯᱷᱤ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"They are playing outside. ","ᱩᱱᱠᱩ ᱵᱟᱦᱨᱮ ᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ ᱾ "
"He is watching television. ","ᱩᱱᱤ ᱴᱤᱵᱷᱤ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"I like to eat rice and curry. ","ᱤᱧ ᱫᱟᱠᱟ ᱟᱨ ᱵᱮᱨᱤ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"The dog is running in the yard. ","ᱥᱮᱛᱟ ᱫᱚ ᱨᱟᱪᱟ ᱨᱮ ᱫᱟᱹᱲ ᱠᱟᱱᱟᱭ ᱾ "
"We are climbing the stairs. ","ᱟᱞᱮ ᱥᱤᱲᱦᱤ ᱞᱮ ᱫᱮᱡᱚᱜ ᱠᱟᱱᱟ᱾ "
"She is wearing a hat. ","ᱩᱱᱤ ᱫᱚ ᱴᱩᱯᱨᱤ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"He is opening the door. ","ᱩᱱᱤ ᱫᱩᱣᱟᱹᱨ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱭ ᱾ "
"I am learning Santali words. ","ᱤᱧ ᱥᱟᱱᱛᱟᱞᱤ ᱟᱹᱲᱟᱹ ᱠᱚ ᱪᱮᱫ ᱮᱫᱟᱹᱧ| "
"They are playing hide and seek. ","ᱩᱱᱠᱩ ᱩᱠᱩ ᱟᱨ ᱥᱮᱸᱫᱽᱨᱟ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"She is singing a song. ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱮᱨᱮᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟᱭ ᱾ "
"He is writing a poem. ","ᱩᱱᱤ ᱢᱤᱫ ᱚᱱᱚᱲᱦᱮ ᱚᱞ ᱠᱟᱱᱟᱭ ᱾ "
"I am walking to the market. ","ᱤᱧ ᱵᱟᱡᱟᱨ ᱥᱮᱫ ᱤᱧ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"We are eating breakfast. ","ᱟᱞᱮ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢᱟᱜ ᱞᱮ ᱡᱚᱢ ᱮᱫᱟ᱾ "
"The sun is rising in the east. ","ᱥᱤᱛᱩᱢ ᱫᱚ ᱯᱩᱨᱩᱵ ᱥᱮᱫ ᱩᱰᱩᱝᱚᱜ ᱠᱟᱱᱟ ᱾ "
"She is planting a tree. ","ᱩᱱᱤ ᱢᱤᱫ ᱫᱟᱨᱮ ᱨᱚᱦᱚᱭ ᱠᱟᱱᱟᱭ ᱾ "
"He is feeding the chicken. ","ᱩᱱᱤ ᱥᱤᱢ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱮᱫ ᱠᱚᱣᱟᱭ ᱾ "
"I am studying for exams. ","ᱤᱧ ᱵᱤᱱᱤᱰ ᱞᱟᱹᱜᱤᱫ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱹᱧ ᱾ "
"They are running fast. ","ᱩᱱᱠᱩ ᱞᱚᱜᱚᱱ ᱠᱚ ᱫᱟᱹᱲ ᱠᱟᱱᱟ ᱾ "
"She is drinking milk. ","ᱩᱱᱤ ᱛᱚᱣᱟ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"He is playing with toys. ","ᱩᱱᱤ ᱠᱷᱮᱞᱱᱟ ᱠᱚ ᱥᱟᱶ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I am listening to a podcast. ","ᱤᱧ ᱢᱤᱫ ᱯᱚᱰᱠᱟᱥᱴ ᱟᱸᱡᱚᱢ ᱮᱫᱟᱹᱧ ᱾ "
"We are watching the sunset. ","ᱟᱞᱮ ᱥᱤᱛᱩᱝ ᱧᱩᱨᱩᱜ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"She is wearing shoes. ","ᱩᱱᱤ ᱯᱟᱱᱟᱦᱤ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"He is cleaning the car. ","ᱩᱱᱤ ᱠᱟᱨ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"I am cooking vegetables. ","ᱤᱧ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱤᱥᱤᱱ ᱮᱫᱟᱹᱧ ᱾ "
"They are reading magazines. ","ᱩᱱᱠᱩ ᱯᱟᱛᱷᱟᱢ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is helping her mother. ","ᱩᱱᱤ ᱟᱡ ᱟᱭᱳ ᱜᱚᱲᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"He is learning English. ","ᱩᱱᱤ ᱤᱝᱨᱟᱡᱤ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I like to draw animals. ","ᱤᱧ ᱡᱤᱣ ᱠᱚ ᱟᱸᱠᱟᱣ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ ᱾"
"We are sitting on the bench. ","ᱟᱞᱮ ᱵᱮᱸᱪ ᱨᱮ ᱞᱮ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ ᱾ "
"She is brushing her hair. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱩᱵ ᱵᱽᱨᱟᱥ ᱮᱫᱟᱭ ᱾ "
"He is fixing the table. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"I am feeling hungry. ","ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱤᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟ᱾ "
"They are playing basketball. ","ᱩᱱᱠᱩ ᱵᱟᱥᱠᱮᱴᱵᱚᱞ ᱠᱚ ᱠᱷᱮᱞ ᱠᱟᱱᱟ ᱾ "
"She is watering the flowers. ","ᱩᱱᱤ ᱵᱟᱦᱟ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾ "
"He is cutting the paper. ","ᱩᱱᱤ ᱠᱟᱜᱚᱡᱽ ᱜᱮᱫ ᱠᱟᱱᱟᱭ ᱾ "
"I am writing a diary. ","ᱤᱧ ᱢᱤᱫ ᱰᱟᱭᱨᱤ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"We are walking in the street. ","ᱟᱞᱮ ᱥᱚᱸᱡᱷᱮ ᱨᱮ ᱞᱮ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟ᱾ "
"She is reading a storybook. ","ᱩᱱᱤ ᱠᱟᱹᱦᱱᱤ ᱯᱚᱛᱚᱵ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"He is painting a picture. ","ᱩᱱᱤ ᱢᱤᱫ ᱪᱤᱛᱟᱹᱨ ᱮ ᱨᱚᱝ ᱮᱫᱟ᱾ "
"I like to eat bananas. ","ᱤᱧ ᱠᱮᱞᱟ ᱡᱚᱢ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱜ-ᱟ ᱾ "
"They are swimming in the pool. ","ᱩᱱᱠᱩ ᱯᱩᱞ ᱨᱮᱠᱚ ᱯᱟᱭᱨᱟᱜ ᱠᱟᱱᱟ᱾ "
